,uid,projection,filename
58,30,Lateral,30_IM-1385-2001.dcm.png
59,30,Volume,30_ct_synthetic.h5
60,34,Frontal,34_IM-1644-1001.dcm.png
61,34,Lateral,34_IM-1644-2001.dcm.png
62,34,Volume,34_ct_synthetic.h5
63,35,Frontal,35_IM-1704-1001.dcm.png
64,35,Lateral,35_IM-1704-1002.dcm.png
65,35,Volume,35_ct_synthetic.h5
66,36,Frontal,36_IM-1776-1001.dcm.png
67,36,Lateral,36_IM-1776-2001.dcm.png
68,36,Volume,36_ct_synthetic.h5
69,38,Frontal,38_IM-1911-1001.dcm.png
70,38,Lateral,38_IM-1911-2001.dcm.png
71,38,Volume,38_ct_synthetic.h5
72,40,Frontal,40_IM-2050-1001.dcm.png
73,40,Lateral,40_IM-2050-1002.dcm.png
74,40,Volume,40_ct_synthetic.h5
75,41,Frontal,41_IM-2055-1001.dcm.png
76,41,Lateral,41_IM-2055-2001.dcm.png
77,41,Volume,41_ct_synthetic.h5
78,42,Frontal,42_IM-2063-1001.dcm.png
79,42,Lateral,42_IM-2063-2001.dcm.png
80,42,Volume,42_ct_synthetic.h5
81,46,Frontal,46_IM-2090-1001.dcm.png
82,46,Lateral,46_IM-2090-3003.dcm.png
83,46,Volume,46_ct_synthetic.h5
84,47,Frontal,47_IM-2098-1001.dcm.png
85,47,Lateral,47_IM-2098-2001.dcm.png
86,47,Volume,47_ct_synthetic.h5
87,48,Frontal,48_IM-2103-1001.dcm.png
88,48,Lateral,48_IM-2103-2001.dcm.png
89,48,Volume,48_ct_synthetic.h5
90,49,Frontal,49_IM-2110-1001.dcm.png
91,49,Lateral,49_IM-2110-2001.dcm.png
92,49,Volume,49_ct_synthetic.h5
93,52,Frontal,52_IM-2131-1001.dcm.png
94,52,Lateral,52_IM-2131-2001.dcm.png
95,52,Volume,52_ct_synthetic.h5
96,53,Frontal,53_IM-2138-1001.dcm.png
97,53,Lateral,53_IM-2138-2001.dcm.png
98,53,Volume,53_ct_synthetic.h5
99,54,Frontal,54_IM-2145-1001.dcm.png
100,54,Lateral,54_IM-2145-1002.dcm.png
101,54,Volume,54_ct_synthetic.h5
102,56,Frontal,56_IM-2160-2002.dcm.png
103,56,Lateral,56_IM-2160-3003.dcm.png
104,56,Volume,56_ct_synthetic.h5
105,64,Frontal,64_IM-2218-4004.dcm.png
106,64,Lateral,64_IM-2218-2001.dcm.png
107,64,Volume,64_ct_synthetic.h5
108,65,Frontal,65_IM-2228-4004.dcm.png
109,65,Lateral,65_IM-2228-2001.dcm.png
110,65,Volume,65_ct_synthetic.h5
111,66,Frontal,66_IM-2236-1001.dcm.png
112,66,Lateral,66_IM-2236-1002.dcm.png
113,66,Volume,66_ct_synthetic.h5
114,69,Frontal,69_IM-2258-1001.dcm.png
115,69,Lateral,69_IM-2258-2001.dcm.png
116,69,Volume,69_ct_synthetic.h5
117,72,Frontal,72_IM-2280-1001.dcm.png
118,72,Lateral,72_IM-2280-2001.dcm.png
119,72,Volume,72_ct_synthetic.h5
120,75,Frontal,75_IM-2303-1001.dcm.png
121,75,Lateral,75_IM-2303-2001.dcm.png
122,75,Volume,75_ct_synthetic.h5
123,77,Frontal,77_IM-2315-1001-0002.dcm.png
124,77,Lateral,77_IM-2315-1001-0001.dcm.png
125,77,Volume,77_ct_synthetic.h5
126,78,Frontal,78_IM-2322-1001.dcm.png
127,78,Lateral,78_IM-2322-2001.dcm.png
128,78,Volume,78_ct_synthetic.h5
129,79,Frontal,79_IM-2329-1001.dcm.png
130,79,Lateral,79_IM-2329-2001.dcm.png
131,79,Volume,79_ct_synthetic.h5
132,80,Frontal,80_IM-2333-1001.dcm.png
133,80,Lateral,80_IM-2333-2001.dcm.png
134,80,Volume,80_ct_synthetic.h5
135,83,Frontal,83_IM-2358-1001.dcm.png
136,83,Lateral,83_IM-2358-1002.dcm.png
137,83,Volume,83_ct_synthetic.h5
138,86,Frontal,86_IM-2380-1001.dcm.png
139,86,Lateral,86_IM-2380-2001.dcm.png
140,86,Volume,86_ct_synthetic.h5
141,87,Frontal,87_IM-2390-1001.dcm.png
142,87,Lateral,87_IM-2390-2001.dcm.png
143,87,Volume,87_ct_synthetic.h5
144,89,Frontal,89_IM-2402-1001.dcm.png
145,89,Lateral,89_IM-2402-2001.dcm.png
146,89,Volume,89_ct_synthetic.h5
147,94,Frontal,94_IM-2436-1001.dcm.png
148,94,Lateral,94_IM-2436-2001.dcm.png
149,94,Volume,94_ct_synthetic.h5
150,96,Frontal,96_IM-2450-2002.dcm.png
151,96,Lateral,96_IM-2450-3003.dcm.png
152,96,Volume,96_ct_synthetic.h5
153,98,Frontal,98_IM-2467-4004.dcm.png
154,98,Lateral,98_IM-2467-1001.dcm.png
155,98,Volume,98_ct_synthetic.h5
156,100,Frontal,100_IM-0002-1001.dcm.png
157,100,Lateral,100_IM-0002-2001.dcm.png
158,100,Volume,100_ct_synthetic.h5
159,101,Frontal,101_IM-0011-4004.dcm.png
160,101,Lateral,101_IM-0011-2001.dcm.png
161,101,Volume,101_ct_synthetic.h5
162,105,Frontal,105_IM-0037-1001.dcm.png
163,105,Lateral,105_IM-0037-2001.dcm.png
164,105,Volume,105_ct_synthetic.h5
165,106,Frontal,106_IM-0042-1001.dcm.png
166,106,Lateral,106_IM-0042-2001.dcm.png
167,106,Volume,106_ct_synthetic.h5
168,107,Frontal,107_IM-0049-1001.dcm.png
169,107,Lateral,107_IM-0049-2001.dcm.png
170,107,Volume,107_ct_synthetic.h5
171,110,Frontal,110_IM-0067-1001.dcm.png
172,110,Lateral,110_IM-0067-2001.dcm.png
173,110,Volume,110_ct_synthetic.h5
174,111,Frontal,111_IM-0076-1001.dcm.png
175,111,Lateral,111_IM-0076-1002.dcm.png
176,111,Volume,111_ct_synthetic.h5
177,112,Frontal,112_IM-0080-1001.dcm.png
178,112,Lateral,112_IM-0080-1002.dcm.png
179,112,Volume,112_ct_synthetic.h5
180,113,Frontal,113_IM-0086-1001.dcm.png
181,113,Lateral,113_IM-0086-2001.dcm.png
182,113,Volume,113_ct_synthetic.h5
183,114,Frontal,114_IM-0096-1001.dcm.png
184,114,Lateral,114_IM-0096-2001.dcm.png
185,114,Volume,114_ct_synthetic.h5
186,115,Frontal,115_IM-0102-1001.dcm.png
187,115,Lateral,115_IM-0102-2001.dcm.png
188,115,Volume,115_ct_synthetic.h5
189,117,Frontal,117_IM-0114-2002.dcm.png
190,117,Lateral,117_IM-0114-3003.dcm.png
191,117,Volume,117_ct_synthetic.h5
192,118,Frontal,118_IM-0123-1001.dcm.png
193,118,Lateral,118_IM-0123-2001.dcm.png
194,118,Volume,118_ct_synthetic.h5
195,121,Frontal,121_IM-0142-1001.dcm.png
196,121,Lateral,121_IM-0142-2001.dcm.png
197,121,Volume,121_ct_synthetic.h5
198,124,Frontal,124_IM-0161-4004.dcm.png
199,124,Lateral,124_IM-0161-1001.dcm.png
200,124,Volume,124_ct_synthetic.h5
201,129,Frontal,129_IM-0189-1001.dcm.png
202,129,Lateral,129_IM-0189-2001.dcm.png
203,129,Volume,129_ct_synthetic.h5
204,133,Frontal,133_IM-0212-1001.dcm.png
205,133,Lateral,133_IM-0212-2001.dcm.png
206,133,Volume,133_ct_synthetic.h5
207,135,Frontal,135_IM-0227-1001.dcm.png
208,135,Lateral,135_IM-0227-3003.dcm.png
209,135,Volume,135_ct_synthetic.h5
210,136,Frontal,136_IM-0233-1001.dcm.png
211,136,Lateral,136_IM-0233-1002.dcm.png
212,136,Volume,136_ct_synthetic.h5
213,138,Frontal,138_IM-0244-1001.dcm.png
214,138,Lateral,138_IM-0244-2001.dcm.png
215,138,Volume,138_ct_synthetic.h5
216,139,Frontal,139_IM-0248-1001.dcm.png
217,139,Lateral,139_IM-0248-3003.dcm.png
218,139,Volume,139_ct_synthetic.h5
219,141,Frontal,141_IM-0260-1001.dcm.png
220,141,Lateral,141_IM-0260-2001.dcm.png
221,141,Volume,141_ct_synthetic.h5
222,142,Frontal,142_IM-0267-1001.dcm.png
223,142,Lateral,142_IM-0267-2001.dcm.png
224,142,Volume,142_ct_synthetic.h5
225,145,Frontal,145_IM-0290-1001.dcm.png
226,145,Lateral,145_IM-0290-2001.dcm.png
227,145,Volume,145_ct_synthetic.h5
228,149,Frontal,149_IM-0315-1001.dcm.png
229,149,Lateral,149_IM-0315-1002.dcm.png
230,149,Volume,149_ct_synthetic.h5
231,153,Frontal,153_IM-0343-1001.dcm.png
232,153,Lateral,153_IM-0343-2001.dcm.png
233,153,Volume,153_ct_synthetic.h5
234,154,Frontal,154_IM-0350-1001.dcm.png
235,154,Lateral,154_IM-0350-2001.dcm.png
236,154,Volume,154_ct_synthetic.h5
237,158,Frontal,158_IM-0377-1001.dcm.png
238,158,Lateral,158_IM-0377-2001.dcm.png
239,158,Volume,158_ct_synthetic.h5
240,160,Frontal,160_IM-0390-1001.dcm.png
241,160,Lateral,160_IM-0390-2001.dcm.png
242,160,Volume,160_ct_synthetic.h5
243,161,Frontal,161_IM-0394-1001.dcm.png
244,161,Lateral,161_IM-0394-2001.dcm.png
245,161,Volume,161_ct_synthetic.h5
246,162,Frontal,162_IM-0401-1001.dcm.png
247,162,Lateral,162_IM-0401-2001.dcm.png
248,162,Volume,162_ct_synthetic.h5
249,164,Frontal,164_IM-0419-1001.dcm.png
250,164,Lateral,164_IM-0419-2001.dcm.png
251,164,Volume,164_ct_synthetic.h5
252,169,Frontal,169_IM-0452-1001.dcm.png
253,169,Lateral,169_IM-0452-2001.dcm.png
254,169,Volume,169_ct_synthetic.h5
255,171,Frontal,171_IM-0468-1001.dcm.png
256,171,Lateral,171_IM-0468-3003.dcm.png
257,171,Volume,171_ct_synthetic.h5
258,176,Frontal,176_IM-0496-1001.dcm.png
259,176,Lateral,176_IM-0496-2001.dcm.png
260,176,Volume,176_ct_synthetic.h5
261,177,Frontal,177_IM-0503-1001.dcm.png
262,177,Lateral,177_IM-0503-2001.dcm.png
263,177,Volume,177_ct_synthetic.h5
264,182,Frontal,182_IM-0531-1001.dcm.png
265,182,Lateral,182_IM-0531-2001.dcm.png
266,182,Volume,182_ct_synthetic.h5
267,183,Frontal,183_IM-0537-1001.dcm.png
268,183,Lateral,183_IM-0537-1002.dcm.png
269,183,Volume,183_ct_synthetic.h5
270,184,Frontal,184_IM-0544-1001.dcm.png
271,184,Lateral,184_IM-0544-2001.dcm.png
272,184,Volume,184_ct_synthetic.h5
273,185,Frontal,185_IM-0551-1001.dcm.png
274,185,Lateral,185_IM-0551-2001.dcm.png
275,185,Volume,185_ct_synthetic.h5
276,186,Frontal,186_IM-0558-1001.dcm.png
277,186,Lateral,186_IM-0558-2001.dcm.png
278,186,Volume,186_ct_synthetic.h5
279,188,Frontal,188_IM-0569-1001.dcm.png
280,188,Lateral,188_IM-0569-1002.dcm.png
281,188,Volume,188_ct_synthetic.h5
282,189,Frontal,189_IM-0578-1001.dcm.png
283,189,Lateral,189_IM-0578-2001.dcm.png
284,189,Volume,189_ct_synthetic.h5
285,190,Frontal,190_IM-0583-1001.dcm.png
286,190,Lateral,190_IM-0583-3001.dcm.png
287,190,Volume,190_ct_synthetic.h5
288,191,Frontal,191_IM-0591-1001.dcm.png
289,191,Lateral,191_IM-0591-2001.dcm.png
290,191,Volume,191_ct_synthetic.h5
291,194,Frontal,194_IM-0609-2001.dcm.png
292,194,Lateral,194_IM-0609-1001.dcm.png
293,194,Volume,194_ct_synthetic.h5
294,195,Frontal,195_IM-0618-1002.dcm.png
295,195,Lateral,195_IM-0618-1001.dcm.png
296,195,Volume,195_ct_synthetic.h5
297,200,Frontal,200_IM-0653-1001.dcm.png
298,200,Lateral,200_IM-0653-2002.dcm.png
299,200,Volume,200_ct_synthetic.h5
300,201,Frontal,201_IM-0660-1001.dcm.png
301,201,Lateral,201_IM-0660-3001.dcm.png
302,201,Volume,201_ct_synthetic.h5
303,202,Frontal,202_IM-0667-4004.dcm.png
304,202,Lateral,202_IM-0667-1001.dcm.png
305,202,Volume,202_ct_synthetic.h5
306,207,Frontal,207_IM-0703-1001.dcm.png
307,207,Lateral,207_IM-0703-2001.dcm.png
308,207,Volume,207_ct_synthetic.h5
309,208,Frontal,208_IM-0711-1001.dcm.png
310,208,Lateral,208_IM-0711-1002.dcm.png
311,208,Volume,208_ct_synthetic.h5
312,211,Frontal,211_IM-0740-1001.dcm.png
313,211,Lateral,211_IM-0740-1002.dcm.png
314,211,Volume,211_ct_synthetic.h5
315,217,Frontal,217_IM-0786-1001.dcm.png
316,217,Lateral,217_IM-0786-2001.dcm.png
317,217,Volume,217_ct_synthetic.h5
318,218,Frontal,218_IM-0792-4004.dcm.png
319,218,Lateral,218_IM-0792-0001.dcm.png
320,218,Volume,218_ct_synthetic.h5
321,219,Frontal,219_IM-0799-1001.dcm.png
322,219,Lateral,219_IM-0799-2001.dcm.png
323,219,Volume,219_ct_synthetic.h5
324,220,Frontal,220_IM-0811-1001.dcm.png
325,220,Lateral,220_IM-0811-1002.dcm.png
326,220,Volume,220_ct_synthetic.h5
327,222,Frontal,222_IM-0823-1001.dcm.png
328,222,Lateral,222_IM-0823-3003.dcm.png
329,222,Volume,222_ct_synthetic.h5
330,224,Frontal,224_IM-0837-1001.dcm.png
331,224,Lateral,224_IM-0837-2001.dcm.png
332,224,Volume,224_ct_synthetic.h5
333,225,Frontal,225_IM-0844-1001.dcm.png
334,225,Lateral,225_IM-0844-2001.dcm.png
335,225,Volume,225_ct_synthetic.h5
336,226,Frontal,226_IM-0851-1001.dcm.png
337,226,Lateral,226_IM-0851-2001.dcm.png
338,226,Volume,226_ct_synthetic.h5
339,227,Frontal,227_IM-0859-12012.dcm.png
340,227,Lateral,227_IM-0859-1001.dcm.png
341,227,Volume,227_ct_synthetic.h5
342,228,Frontal,228_IM-0866-3001.dcm.png
343,228,Lateral,228_IM-0866-5001.dcm.png
344,228,Volume,228_ct_synthetic.h5
345,229,Frontal,229_IM-0873-1001.dcm.png
346,229,Lateral,229_IM-0873-2001.dcm.png
347,229,Volume,229_ct_synthetic.h5
348,230,Frontal,230_IM-0880-0001-0002.dcm.png
349,230,Lateral,230_IM-0880-0001-0001.dcm.png
350,230,Volume,230_ct_synthetic.h5
351,233,Frontal,233_IM-0899-1001.dcm.png
352,233,Lateral,233_IM-0899-2001.dcm.png
353,233,Volume,233_ct_synthetic.h5
354,234,Frontal,234_IM-0906-0001-0001.dcm.png
355,234,Lateral,234_IM-0906-0001-0002.dcm.png
356,234,Volume,234_ct_synthetic.h5
357,236,Frontal,236_IM-0924-1001.dcm.png
358,236,Lateral,236_IM-0924-1002.dcm.png
359,236,Volume,236_ct_synthetic.h5
360,238,Frontal,238_IM-0939-1001.dcm.png
361,238,Lateral,238_IM-0939-2001.dcm.png
362,238,Volume,238_ct_synthetic.h5
363,239,Frontal,239_IM-0944-1001.dcm.png
364,239,Lateral,239_IM-0944-1002.dcm.png
365,239,Volume,239_ct_synthetic.h5
366,242,Frontal,242_IM-0963-1001.dcm.png
367,242,Lateral,242_IM-0963-2001.dcm.png
368,242,Volume,242_ct_synthetic.h5
369,245,Frontal,245_IM-0985-1001.dcm.png
370,245,Lateral,245_IM-0985-2001.dcm.png
371,245,Volume,245_ct_synthetic.h5
372,246,Frontal,246_IM-0992-1002001.dcm.png
373,246,Lateral,246_IM-0992-1003002.dcm.png
374,246,Volume,246_ct_synthetic.h5
375,247,Frontal,247_IM-1000-1001.dcm.png
376,247,Lateral,247_IM-1000-2001.dcm.png
377,247,Volume,247_ct_synthetic.h5
378,252,Frontal,252_IM-1038-1001.dcm.png
379,252,Lateral,252_IM-1038-2001.dcm.png
380,252,Volume,252_ct_synthetic.h5
381,253,Frontal,253_IM-1045-1001.dcm.png
382,253,Lateral,253_IM-1045-2001.dcm.png
383,253,Volume,253_ct_synthetic.h5
384,255,Frontal,255_IM-1058-1001.dcm.png
385,255,Lateral,255_IM-1058-2001.dcm.png
386,255,Volume,255_ct_synthetic.h5
387,258,Frontal,258_IM-1078-1001.dcm.png
388,258,Lateral,258_IM-1078-1002.dcm.png
389,258,Volume,258_ct_synthetic.h5
390,259,Frontal,259_IM-1083-1001.dcm.png
391,259,Lateral,259_IM-1083-1002.dcm.png
392,259,Volume,259_ct_synthetic.h5
393,261,Frontal,261_IM-1100-1001.dcm.png
394,261,Lateral,261_IM-1100-3003.dcm.png
395,261,Volume,261_ct_synthetic.h5
396,264,Frontal,264_IM-1125-1001.dcm.png
397,264,Lateral,264_IM-1125-2001.dcm.png
398,264,Volume,264_ct_synthetic.h5
399,267,Frontal,267_IM-1147-1001.dcm.png
400,267,Lateral,267_IM-1147-2001.dcm.png
401,267,Volume,267_ct_synthetic.h5
402,268,Frontal,268_IM-1153-1001.dcm.png
403,268,Lateral,268_IM-1153-2001.dcm.png
404,268,Volume,268_ct_synthetic.h5
405,269,Frontal,269_IM-1161-1001.dcm.png
406,269,Lateral,269_IM-1161-2001.dcm.png
407,269,Volume,269_ct_synthetic.h5
408,270,Frontal,270_IM-1168-1001.dcm.png
409,270,Lateral,270_IM-1168-2001.dcm.png
410,270,Volume,270_ct_synthetic.h5
411,271,Frontal,271_IM-1176-1001.dcm.png
412,271,Lateral,271_IM-1176-2001.dcm.png
413,271,Volume,271_ct_synthetic.h5
414,272,Frontal,272_IM-1182-1001.dcm.png
415,272,Lateral,272_IM-1182-2001.dcm.png
416,272,Volume,272_ct_synthetic.h5
417,273,Frontal,273_IM-1188-1001.dcm.png
418,273,Lateral,273_IM-1188-2001.dcm.png
419,273,Volume,273_ct_synthetic.h5
420,275,Frontal,275_IM-1200-1001.dcm.png
421,275,Lateral,275_IM-1200-2001.dcm.png
422,275,Volume,275_ct_synthetic.h5
423,276,Frontal,276_IM-1207-1001.dcm.png
424,276,Lateral,276_IM-1207-1002.dcm.png
425,276,Volume,276_ct_synthetic.h5
426,278,Frontal,278_IM-1218-1001.dcm.png
427,278,Lateral,278_IM-1218-2001.dcm.png
428,278,Volume,278_ct_synthetic.h5
429,279,Frontal,279_IM-1224-1001-0002.dcm.png
430,279,Lateral,279_IM-1224-1001-0001.dcm.png
431,279,Volume,279_ct_synthetic.h5
432,282,Frontal,282_IM-1243-1001.dcm.png
433,282,Lateral,282_IM-1243-1002.dcm.png
434,282,Volume,282_ct_synthetic.h5
435,283,Frontal,283_IM-1248-1001.dcm.png
436,283,Lateral,283_IM-1248-2001.dcm.png
437,283,Volume,283_ct_synthetic.h5
438,284,Frontal,284_IM-1252-5005.dcm.png
439,284,Lateral,284_IM-1252-1001.dcm.png
440,284,Volume,284_ct_synthetic.h5
441,285,Frontal,285_IM-1258-4004.dcm.png
442,285,Lateral,285_IM-1258-1001.dcm.png
443,285,Volume,285_ct_synthetic.h5
444,287,Frontal,287_IM-1276-4004.dcm.png
445,287,Lateral,287_IM-1276-1001.dcm.png
446,287,Volume,287_ct_synthetic.h5
447,291,Frontal,291_IM-1313-1001.dcm.png
448,291,Lateral,291_IM-1313-2001.dcm.png
449,291,Volume,291_ct_synthetic.h5
450,292,Frontal,292_IM-1322-1001.dcm.png
451,292,Lateral,292_IM-1322-2001.dcm.png
452,292,Volume,292_ct_synthetic.h5
453,294,Frontal,294_IM-1340-3001.dcm.png
454,294,Lateral,294_IM-1340-2001.dcm.png
455,294,Volume,294_ct_synthetic.h5
456,297,Frontal,297_IM-1361-4004.dcm.png
457,297,Lateral,297_IM-1361-2001.dcm.png
458,297,Volume,297_ct_synthetic.h5
459,298,Frontal,298_IM-1369-1001.dcm.png
460,298,Lateral,298_IM-1369-2001.dcm.png
461,298,Volume,298_ct_synthetic.h5
462,300,Frontal,300_IM-1385-1001.dcm.png
463,300,Lateral,300_IM-1385-1002.dcm.png
464,300,Volume,300_ct_synthetic.h5
465,301,Frontal,301_IM-1389-1001.dcm.png
466,301,Lateral,301_IM-1389-2001.dcm.png
467,301,Volume,301_ct_synthetic.h5
468,304,Frontal,304_IM-1413-12012.dcm.png
469,304,Lateral,304_IM-1413-2001.dcm.png
470,304,Volume,304_ct_synthetic.h5
471,306,Frontal,306_IM-1426-1001.dcm.png
472,306,Lateral,306_IM-1426-2001.dcm.png
473,306,Volume,306_ct_synthetic.h5
474,307,Frontal,307_IM-1432-1001.dcm.png
475,307,Lateral,307_IM-1432-2001.dcm.png
476,307,Volume,307_ct_synthetic.h5
477,309,Frontal,309_IM-1444-1001.dcm.png
478,309,Lateral,309_IM-1444-2001.dcm.png
479,309,Volume,309_ct_synthetic.h5
480,310,Frontal,310_IM-1451-0001-0001.dcm.png
481,310,Lateral,310_IM-1451-0001-0002.dcm.png
482,310,Volume,310_ct_synthetic.h5
483,317,Frontal,317_IM-1493-1001.dcm.png
484,317,Lateral,317_IM-1493-2001.dcm.png
485,317,Volume,317_ct_synthetic.h5
486,318,Frontal,318_IM-1500-1001.dcm.png
487,318,Lateral,318_IM-1500-2001.dcm.png
488,318,Volume,318_ct_synthetic.h5
489,319,Frontal,319_IM-1505-1001.dcm.png
490,319,Lateral,319_IM-1505-1002.dcm.png
491,319,Volume,319_ct_synthetic.h5
492,320,Frontal,320_IM-1511-1001.dcm.png
493,320,Lateral,320_IM-1511-1002.dcm.png
494,320,Volume,320_ct_synthetic.h5
495,321,Frontal,321_IM-1516-0001-0002.dcm.png
496,321,Lateral,321_IM-1516-0001-0001.dcm.png
497,321,Volume,321_ct_synthetic.h5
498,324,Frontal,324_IM-1534-1001.dcm.png
499,324,Lateral,324_IM-1534-2001.dcm.png
500,324,Volume,324_ct_synthetic.h5
501,325,Frontal,325_IM-1539-1001.dcm.png
502,325,Lateral,325_IM-1539-2001.dcm.png
503,325,Volume,325_ct_synthetic.h5
504,326,Frontal,326_IM-1546-2002.dcm.png
505,326,Lateral,326_IM-1546-12012.dcm.png
506,326,Volume,326_ct_synthetic.h5
507,328,Frontal,328_IM-1560-1001.dcm.png
508,328,Lateral,328_IM-1560-2001.dcm.png
509,328,Volume,328_ct_synthetic.h5
510,329,Frontal,329_IM-1571-1004003.dcm.png
511,329,Lateral,329_IM-1571-1003002.dcm.png
512,329,Volume,329_ct_synthetic.h5
513,330,Frontal,330_IM-1577-0001-0002.dcm.png
514,330,Lateral,330_IM-1577-0001-0001.dcm.png
515,330,Volume,330_ct_synthetic.h5
516,331,Frontal,331_IM-1584-1001.dcm.png
517,331,Lateral,331_IM-1584-2001.dcm.png
518,331,Volume,331_ct_synthetic.h5
519,336,Frontal,336_IM-1613-1001.dcm.png
520,336,Lateral,336_IM-1613-2001.dcm.png
521,336,Volume,336_ct_synthetic.h5
522,338,Frontal,338_IM-1628-1001.dcm.png
523,338,Lateral,338_IM-1628-2001.dcm.png
524,338,Volume,338_ct_synthetic.h5
525,339,Frontal,339_IM-1635-1001.dcm.png
526,339,Lateral,339_IM-1635-2001.dcm.png
527,339,Volume,339_ct_synthetic.h5
528,341,Frontal,341_IM-1648-1001.dcm.png
529,341,Lateral,341_IM-1648-1002.dcm.png
530,341,Volume,341_ct_synthetic.h5
531,343,Frontal,343_IM-1658-1001.dcm.png
532,343,Lateral,343_IM-1658-2001.dcm.png
533,343,Volume,343_ct_synthetic.h5
534,344,Frontal,344_IM-1664-1001.dcm.png
535,344,Lateral,344_IM-1664-2001.dcm.png
536,344,Volume,344_ct_synthetic.h5
537,345,Frontal,345_IM-1672-1001.dcm.png
538,345,Lateral,345_IM-1672-2001.dcm.png
539,345,Volume,345_ct_synthetic.h5
540,346,Frontal,346_IM-1680-12012.dcm.png
541,346,Lateral,346_IM-1680-2001.dcm.png
542,346,Volume,346_ct_synthetic.h5
543,348,Frontal,348_IM-1690-1001.dcm.png
544,348,Lateral,348_IM-1690-2001.dcm.png
545,348,Volume,348_ct_synthetic.h5
546,353,Frontal,353_IM-1726-1001.dcm.png
547,353,Lateral,353_IM-1726-2001.dcm.png
548,353,Volume,353_ct_synthetic.h5
549,354,Frontal,354_IM-1731-1001.dcm.png
550,354,Lateral,354_IM-1731-3003.dcm.png
551,354,Volume,354_ct_synthetic.h5
552,355,Frontal,355_IM-1739-1001.dcm.png
553,355,Lateral,355_IM-1739-2001.dcm.png
554,355,Volume,355_ct_synthetic.h5
555,356,Frontal,356_IM-1744-1001.dcm.png
556,356,Lateral,356_IM-1744-2001.dcm.png
557,356,Volume,356_ct_synthetic.h5
558,358,Frontal,358_IM-1759-1001.dcm.png
559,358,Lateral,358_IM-1759-1002.dcm.png
560,358,Volume,358_ct_synthetic.h5
561,359,Frontal,359_IM-1768-1001.dcm.png
562,359,Lateral,359_IM-1768-2001.dcm.png
563,359,Volume,359_ct_synthetic.h5
564,360,Frontal,360_IM-1776-1001.dcm.png
565,360,Lateral,360_IM-1776-2001.dcm.png
566,360,Volume,360_ct_synthetic.h5
567,361,Frontal,361_IM-1783-1001.dcm.png
568,361,Lateral,361_IM-1783-1002.dcm.png
569,361,Volume,361_ct_synthetic.h5
570,362,Frontal,362_IM-1791-1001.dcm.png
571,362,Lateral,362_IM-1791-2001.dcm.png
